instance,heuristic,alpha,seed,Encontros Alocados,Encontros Total,Taxa Alocacao (%),Demanda Alocada,Demanda Total,Taxa Demanda (%),Desperdicio Medio,Runtime(s),MaxRSS(kB),PrefTotal,PrefSatisfeitas,PrefSat(%)
instance1,greedy,,,974,1000,97.4,39264,40861,96.0916,11.963,0.0332,5193728,0,0,
instance1,partial,0.25,0,974,1000,97.4,39264,40861,96.0916,11.963,0.0193,5095424,0,0,
instance1,partial,0.25,12345,974,1000,97.4,39264,40861,96.0916,11.963,0.0198,4866048,0,0,
instance1,partial,0.5,0,974,1000,97.4,39264,40861,96.0916,13.1294,0.0201,4915200,0,0,
instance1,partial,0.5,12345,974,1000,97.4,39264,40861,96.0916,13.1294,0.0215,5275648,0,0,
instance1,partial,0.75,0,974,1000,97.4,39264,40861,96.0916,14.8224,0.0223,5226496,0,0,
instance1,partial,0.75,12345,974,1000,97.4,39264,40861,96.0916,14.8224,0.0253,5373952,0,0,
instance2,greedy,,,983,1000,98.3,38732,39799,97.319,12.3235,0.0433,5128192,0,0,
instance2,partial,0.25,0,983,1000,98.3,38732,39799,97.319,12.3235,0.0214,5242880,0,0,
instance2,partial,0.25,12345,983,1000,98.3,38732,39799,97.319,12.3235,0.0215,5128192,0,0,
instance2,partial,0.5,0,983,1000,98.3,38732,39799,97.319,13.6185,0.0201,4947968,0,0,
instance2,partial,0.5,12345,983,1000,98.3,38732,39799,97.319,13.6185,0.0200,4947968,0,0,
instance2,partial,0.75,0,983,1000,98.3,38732,39799,97.319,15.5687,0.0188,5079040,0,0,
instance2,partial,0.75,12345,983,1000,98.3,38732,39799,97.319,15.5687,0.0186,5160960,0,0,
instance3,greedy,,,968,1000,96.8,37298,39318,94.8624,12.9349,0.0194,4931584,0,0,
instance3,partial,0.25,0,968,1000,96.8,37298,39318,94.8624,12.9349,0.0182,4931584,0,0,
instance3,partial,0.25,12345,968,1000,96.8,37298,39318,94.8624,12.9349,0.0209,5292032,0,0,
instance3,partial,0.5,0,968,1000,96.8,37298,39318,94.8624,14.2366,0.0197,5128192,0,0,
instance3,partial,0.5,12345,968,1000,96.8,37298,39318,94.8624,14.2366,0.0184,5062656,0,0,
instance3,partial,0.75,0,968,1000,96.8,37298,39318,94.8624,16.0919,0.0179,5095424,0,0,
instance3,partial,0.75,12345,968,1000,96.8,37298,39318,94.8624,16.0919,0.0183,5046272,0,0,
instance4,greedy,,,979,1000,97.9,39574,40894,96.7721,11.2789,0.0206,4898816,0,0,
instance4,partial,0.25,0,979,1000,97.9,39574,40894,96.7721,11.2789,0.0187,5144576,0,0,
instance4,partial,0.25,12345,979,1000,97.9,39574,40894,96.7721,11.2789,0.0191,5111808,0,0,
instance4,partial,0.5,0,979,1000,97.9,39574,40894,96.7721,12.8366,0.0193,5193728,0,0,
instance4,partial,0.5,12345,979,1000,97.9,39574,40894,96.7721,12.8366,0.0197,5095424,0,0,
instance4,partial,0.75,0,979,1000,97.9,39574,40894,96.7721,14.7937,0.0187,4997120,0,0,
instance4,partial,0.75,12345,979,1000,97.9,39574,40894,96.7721,14.7937,0.0188,5144576,0,0,
instance5,greedy,,,987,1000,98.7,38180,39018,97.8523,12.385,0.0207,5210112,0,0,
instance5,partial,0.25,0,987,1000,98.7,38180,39018,97.8523,12.385,0.0189,5177344,0,0,
instance5,partial,0.25,12345,987,1000,98.7,38180,39018,97.8523,12.385,0.0189,4898816,0,0,
instance5,partial,0.5,0,987,1000,98.7,38180,39018,97.8523,14.0578,0.0187,4620288,0,0,
instance5,partial,0.5,12345,987,1000,98.7,38180,39018,97.8523,14.0578,0.0185,5046272,0,0,
instance5,partial,0.75,0,987,1000,98.7,38180,39018,97.8523,16.4681,0.0188,5128192,0,0,
instance5,partial,0.75,12345,987,1000,98.7,38180,39018,97.8523,16.4681,0.0184,5029888,0,0,
